celltype;Cell type;closest Cell Ontology term(s);Cell Ontology ID;Cell_type_cytoscape;celltypedata;celltypedata_oldorder
A Cardiomyocyte;Atrial Cardiomyocyte;regular atrial cardiac myocyte;CL:0002129;A Cardiomyocyte;A Cardiomyocyte;A Cardiomyocyte
Acinar;Pancreatic Acinar Cell;pancreatic acinar cell;CL:0002064;Acinar;Acinar;Acinar
Adipocyte;Adipocyte;fat cell;CL:0000136;Adipocyte;Adipocyte;Adipocyte
Airway Goblet;Airway Goblet Cell;respiratory goblet cell;CL:0002370;Airway Goblet;Airway Goblet;Airway Goblet
Alpha 1;Pancreatic Alpha Cell 1;pancreatic A cell;CL:0000171;Alpha 1;Alpha 1;Alpha 1
Alpha 2;Pancreatic Alpha Cell 2;pancreatic A cell;CL:0000171;Alpha 2;Alpha 2;Alpha 2
Alveolar Cap Endo;Alveolar Capillary Endothelial Cell;endothelial cell;CL:0000115;Alveolar Cap Endo;Alveolar Cap Endo;Alveolar Cap Endo
Alveolar Type 1;Alveolar Type 1 (AT1) Cell;type I pneumocyte;CL:0002062;Alveolar Type 1;Alveolar Type 1;Alveolar Type 1
Alveolar Type 2;Alveolar Type 2 (AT2) Cell;type II pneumocyte;CL:0002063;Alveolar Type 2;Alveolar Type 2;Alveolar Type 2 (Immune)
Alveolar Type 2 (Immune);Alverolar Type 2,Immune;type II pneumocyte;CL:0002063;Alveolar Type 2/Immune;Alveolar Type 2 (Immune);Alveolar Type 2
Astrocyte 1;Astrocyte 1;astrocyte;CL:0000127;Astrocyte 1;Astrocyte 1;Astrocyte 1
Astrocyte 2;Astrocyte 2;astrocyte;CL:0000127;Astrocyte 2;Astrocyte 2;Astrocyte 2
BBB Endothelial;Blood Brain Barrier Endothelial Cell;endothelial cell;CL:0000115;BBB Endothelial;BBB Endothelial;BBB Endothelial
Beta 1;Pancreatic Beta Cell 1;type B pancreatic cell;CL:0000169;Beta 1;Beta 1;Beta 1
Beta 2;Pancreatic Beta Cell 2;type B pancreatic cell;CL:0000169;Beta 2;Beta 2;Beta 2
Cardiac Fibroblast;Cardiac Fibroblasts;fibroblast of cardiac tissue;CL:0002548;Cardiac Fibroblast;Cardiac Fibroblast;Cardiac Fibroblast
Cardiac Pericyte 1;Cardiac Pericyte 1;pericyte cell;CL:0000669;Cardiac Pericyte 1;Cardiac Pericyte 1;Cardiac Pericyte 1
Cardiac Pericyte 2;Cardiac Pericyte 2;pericyte cell;CL:0000669;Cardiac Pericyte 2;Cardiac Pericyte 2;Cardiac Pericyte 2
Cardiac Pericyte 3;Cardiac Pericyte 3;pericyte cell;CL:0000669;Cardiac Pericyte 3;Cardiac Pericyte 3;Cardiac Pericyte 3
Cardiac Pericyte 4;Cardiac Pericyte 4;pericyte cell;CL:0000669;Cardiac Pericyte 4;Cardiac Pericyte 4;Cardiac Pericyte 4
Chief;Chief Cell;peptic cell;CL:0000155;Chief;Chief;Chief
Cilliated;Cilliated Cell;ciliated cell;CL:0000064;Cilliated;Cilliated;Cilliated
Club;Club Cell;club cell;CL:0000158;Club;Club;Club
Colon Epithelial 1;Colon Epithelial Cell 1;colon epithelial cell;CL:0011108;Colon Epithelial 1;Colon Epithelial 1;Colon Epithelial 1
Colon Epithelial 2;Colon Epithelial Cell 2;colon epithelial cell;CL:0011108;Colon Epithelial 2;Colon Epithelial 2;Colon Epithelial 2
Colon Epithelial 3;Colon Epithelial Cell 3;colon epithelial cell;CL:0011108;Colon Epithelial 3;Colon Epithelial 3;Colon Epithelial 3
Colon Goblet;Colonic Goblet Cell;colon goblet cell;CL:0009039;Colon Goblet;Colon Goblet;Colon Goblet
