"ID","Name","Species","GeneID","Family","Evidence"
"T010824_2.00","TFAP2A","Homo_sapiens","ENSG00000137203","AP-2","D"
"T010820_2.00","TFAP2B","Homo_sapiens","ENSG00000008196","AP-2","D"
"T010822_2.00","TFAP2C","Homo_sapiens","ENSG00000087510","AP-2","D"
"T025994_2.00","ZBED1","Homo_sapiens","ENSG00000214717","BED ZF","D"
"T034285_2.00","ARNTL","Homo_sapiens","ENSG00000133794","bHLH","D"
"T034328_2.00","BHLHA15","Homo_sapiens","ENSG00000180535","bHLH","D"
"T034329_2.00","BHLHE22","Homo_sapiens","ENSG00000180828","bHLH","D"
"T034280_2.00","BHLHE23","Homo_sapiens","ENSG00000125533","bHLH","D"
"T034286_2.00","BHLHE40","Homo_sapiens","ENSG00000134107","bHLH","D"
"T034275_2.00","BHLHE41","Homo_sapiens","ENSG00000123095","bHLH","D"
"T034288_2.00","CLOCK","Homo_sapiens","ENSG00000134852","bHLH","D"
"T034331_2.00","FIGLA","Homo_sapiens","ENSG00000183733","bHLH","D"
"T034341_2.00","HES5","Homo_sapiens","ENSG00000197921","bHLH","D"
"T034326_2.00","HES7","Homo_sapiens","ENSG00000179111","bHLH","D"
"T034307_2.00","HEY1","Homo_sapiens","ENSG00000164683","bHLH","D"
"T034289_2.00","HEY2","Homo_sapiens","ENSG00000135547","bHLH","D"
"T034282_2.00","MAX","Homo_sapiens","ENSG00000125952","bHLH","D"
"T034309_2.00","MESP1","Homo_sapiens","ENSG00000166823","bHLH","D"
"T034260_2.00","MLX","Homo_sapiens","ENSG00000108788","bHLH","D"
"T034243_2.00","MLXIPL","Homo_sapiens","ENSG00000009950","bHLH","D"
"T034249_2.00","MNT","Homo_sapiens","ENSG00000070444","bHLH","D"
"T034325_2.00","MSC","Homo_sapiens","ENSG00000178860","bHLH","D"
"T034261_2.00","MYF6","Homo_sapiens","ENSG00000111046","bHLH","D"
"T034313_2.00","NEUROD2","Homo_sapiens","ENSG00000171532","bHLH","D"
"T034324_2.00","NEUROG2","Homo_sapiens","ENSG00000178403","bHLH","D"
"T034314_2.00","NHLH1","Homo_sapiens","ENSG00000171786","bHLH","D"
"T034333_2.00","OLIG1","Homo_sapiens","ENSG00000184221","bHLH","D"
